LEAR_ID	AGENCY_NAME	ADDRESS1	CITY	AGENCY_STATE	ZIP	COUNTY	FIPS	ORI9	SAMPTYPE	STRATA	Q_8	Q_8_IMPUTED	Q_10A	Q_10A_IMPUTED	Q_10B	Q_10C	Q_10D	Q_10D_OTHER	Q10D_UPCODE	Q_10E	Q_10F	Q_10G	Q_10H	ANY_TYPE	ANY_Q10_OTHER	Q_11_M	Q_11_Y	Q_12	Q_12_ESTACT	Q_13	Q14M1	Q14M2	Q14M3	Q14M4	Q14M5	Q14M6	Q14M7	Q14M8	Q14M9	Q14M10	Q14M11	Q14M12	Q14M13	Q_14_OTHER	Q14_UPCODE	Q14M14	Q_15	Q_15_NUMBER	Q16M1	Q16M2	Q16M3	Q16M4	Q16M5	Q16M6	Q16M7	Q16M8	Q16M9	Q16M10	Q16M11	Q16M12	Q16M13	Q16M14	Q16M15	Q16M16	Q_16_OTHER	Q16_UPCODE	Q16M17	Q_17	Q_17_OTHER	Q17_UPCODE	Q_18	Q_19	Q_20	Q_21	Q22M1	Q22M2	Q22M3	Q22M4	Q22M5	Q22M6	Q22M7	Q22M8	Q22M9	Q22M10	Q22M11	Q_22_OTHER	Q22_UPCODE	Q22_ANY	Q22M12	Q_23	Q_24	Q_24_OTHER	Q24_UPCODE	Q25M1	Q25M2	Q25M3	Q25M4	Q25M5	Q25M6	Q25M7	Q_25_OTHER	Q25_UPCODE	Q25M8	Q_26A	Q_26B	Q_26C	Q_26D	Q_26E	Q_26F	Q_27	Q_28	Q_29	Q_30	Q_31	Q_32	Q_33	Q_34	Q_35	Q_36	Q_37	Q_38	Q_39	Q_40	Q_41	Q_42	Q_43	Q_44	Q_45	Q_46	Q_47	Q_48	Q_49	Q_50	Q_50_OTHER	Q50_UPCODE	Q51M1	Q51M2	Q51M3	Q51M4	Q51M5	Q51M6	Q_51_NUMBER	Q51M7	Q51M8	Q51M9	Q51M10	Q51M11	Q51M12	Q_51_OTHER	Q51_UPCODE	Q51M13	Q_52A	Q_52B	Q_52C	Q_52D	Q_52E	Q_52F	Q_52G	Q_52H	Q_53	Q54M1	Q54M2	Q54M3	Q54M4	Q54M5	Q54M6	Q54M7	Q54M8	Q54M9	Q54M10	Q54M11	Q54M12	Q_54_OTHER	Q54_UPCODE	Q54M13	Q54M14	Q_55	Q_56	Q_57	Q58M1	Q58M2	Q58M3	Q58M4	Q58M5	Q58M6	Q58M7	Q_58_OTHER	Q58_UPCODE	Q58M8	Q59M1	Q59M2	Q59M3	Q59M4	Q59M5	Q59M6	Q59M7	Q59M8	Q59M9	Q59M10	Q59M11	Q59M12	Q_59_OTHER	Q59_UPCODE	Q59_NONE	Q59_TOO_SOON	Q59M13	Q_60	Q_60_OTHER	Q60_UPCODE	Q61M1	Q61M2	Q61M3	Q61M4	Q61M5	Q61M6	Q61M7	Q61M8	Q61M9	Q61M10	Q61M11	Q61M12	Q61M13	Q61M14	Q_61_OTHER	Q61_UPCODE	Q61_INPROCESS	Q61M15	Q62M1	Q62M2	Q62M3	Q62M4	Q62M5	Q62M6	Q62M7	Q62M8	Q62M9	Q62M10	Q62M11	Q_62_OTHER	Q62_UPCODE	Q62_INPROCESS	Q62_NONE	Q62M12	Q_63	Q_64	Q_65	Q_66	Q_67	Q_68	Q_69	Q_70	Q_71	Q_72A	Q_72B	Q_72C	Q_72D	Q_72E	Q_72F	FINALWEIGHT
288574	TEXAS DEPARTMENT OF PUBLIC SAFETY	PO BOX 4087	AUSTIN	TX	78773	 	 	 	5	301	3787	0	1	0	1	2	2	 	-88	-88	-88	-88	-88	1	0	6	2013	101	2	2	1	1	0	1	0	0	0	0	0	0	1	0	0	 	-88	0	77	-88	0	0	1	1	1	0	0	0	1	1	0	1	0	0	1	0	 	-88	0	10	 	-88	2	1	1	1	0	1	1	0	0	0	0	0	0	1	0	 	-88	-88	0	1	3	 	1	1	1	1	1	1	0	0	 	-88	0	2	2	1	1	2	2	1	2	-8	2	-8	1	4	1	4	1	4	2	-8	2	-8	2	-8	2	-8	2	-8	77	-8	2	 	-88	0	0	0	0	0	1	2	0	0	0	0	0	0	 	-88	0	3	4	3	6	6	6	6	6	2	0	0	0	0	0	1	1	0	0	0	0	0	 	-88	0	0	77	-8	-8	-8	-8	-8	-8	-8	-8	-8	 	-8	-8	0	1	1	0	0	1	0	0	0	0	1	0	 	-88	-88	-88	0	2	 	-88	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	1	1	232	7	7	1	0	1	5	0	0	1.0000000000023
289378	SPRING CITY POLICE DEPARTMENT	PO BOX 189	SPRING CITY	UT	84662	SANPETE	49039	UT0201200	3	105	0	0	2	0	2	2	2	 	-88	-88	-88	-88	-88	0	0	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	0	0	0	0	1	1	1	1	1	1	0	0	0	0	 	-88	-88	0	1	1	1	1	0	0	0	0	0	0	0	 	-88	-88	-88	0	4	-8	2	2	2	1	0	0	0	0	0	0	0	0	0	5.1346153846154
344117	TIADAGHTON VALLEY REGIONAL POLICE DEPARTMENT	129 PENNSYLVANIA AVE	JERSEY SHORE	PA	17740	LYCOMING	42081	 	3	104	10	0	2	0	1	1	2	 	1	1	2	2	2	1	1	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	0	0	0	0	1	1	1	1	1	1	1	0	1	0	 	-88	-88	0	1	1	1	1	1	1	0	0	0	0	0	 	-88	-88	-88	0	3	-8	1	2	2	1	0	-9	0	0	0	0	0	0	0	4.6184971098267
423445	WAVERLY TOWNSHIP POLICE DEPARTMENT	PO BOX 8	WAVERLY	PA	18471	LACKAWANNA	42069	 	3	106	3	0	2	0	1	2	2	 	-88	-88	-88	-88	-88	1	0	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	1	0	0	1	0	0	0	0	0	1	0	0	0	0	 	-88	-88	0	0	0	0	0	0	0	0	0	0	0	0	 	-88	-88	-88	1	3	-8	3	4	1	1	0	0	0	0	0	0	0	0	0	5.2860411899313
425567	VILLAGE OF BRIARCLIFF POLICE DEPARTMENT	302 SLEAT DR	BRIARCLIFF	TX	78669	 	48453	 	3	107	1	0	1	0	1	1	2	 	-88	-88	-88	-88	-88	1	0	1	2009	1	2	1	1	0	0	0	0	0	0	0	0	0	0	0	0	 	-88	0	2	-88	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	 	-88	0	1	 	-88	2	1	1	1	0	0	0	0	0	0	1	0	0	0	0	 	-88	-88	0	1	4	 	-88	0	0	1	0	1	0	0	 	-88	0	1	1	1	1	1	77	2	-8	-8	-8	-8	-8	-8	-8	-8	-8	-8	-8	-8	-8	-8	-8	-8	-8	-8	-8	-8	-8	-8	-8	 	-8	-9	-9	-9	-9	-9	-9	 	-9	-9	-9	-9	-9	-9	 	-9	1	6	6	6	6	6	6	6	6	1	0	0	0	0	0	0	0	0	0	0	0	0	 	-88	0	1	6	-8	-8	-8	-8	-8	-8	-8	-8	-8	 	-8	-8	0	0	0	0	0	0	0	0	0	0	0	0	 	-88	-88	-88	1	-9	 	-9	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	2	1	0	0	0	0	0	0	0	0	0	6.6611570247934
426064	HEBRON POLICE DEPARTMENT	15 GILEAD ST	HEBRON	CT	6248	TOLLAND	9013	 	3	107	2	0	1	0	1	-9	-9	 	-9	-9	-9	-9	-9	1	-9	6	2014	2	1	1	0	0	1	0	1	0	0	1	0	0	0	1	0	 	-88	0	77	-88	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	replace in-car cameras for cost factor	2	0	77	 	1	2	2	2	1	0	1	1	1	1	0	1	0	1	1	0	 	-88	-88	0	1	2	 	-88	1	1	1	1	1	1	0	 	-88	0	2	1	1	1	1	1	1	1	1	1	1	-88	-8	1	1	-88	-8	1	1	1	1	1	1	1	1	1	1	-88	-8	2	 	-88	1	1	1	0	0	0	 	0	0	0	1	0	0	 	-88	0	4	4	3	6	6	6	6	6	1	1	1	1	0	0	1	1	0	0	0	0	0	 	-88	0	0	1	-8	-8	-8	-8	-8	-8	-8	-8	-8	 	-8	-8	0	0	0	0	1	0	0	1	0	0	0	0	 	-88	-88	-88	0	8	 	-88	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	1	1	0	0	0	0	0	0	0	0	0	6.6611570247934
427694	WEST POINT POLICE DEPARTMENT	610 AVENUE F	WEST POINT	IA	52656	LEE	19111	 	3	106	1	0	1	0	1	2	2	 	-88	-88	-88	-88	-88	1	0	8	2015	1	2	4	-8	-8	-8	-8	-8	-8	-8	-8	-8	-8	-8	-8	-8	 	-8	-8	77	-88	1	0	0	1	1	0	1	0	1	0	0	1	0	0	0	0	 	-88	0	12	 	-88	1	1	2	1	1	1	1	1	0	0	0	1	1	0	0	 	-88	-88	0	2	-8	 	-8	-8	-8	-8	-8	-8	-8	-8	 	-8	-8	2	1	2	1	2	2	1	1	4	1	3	1	3	-88	-8	-88	-8	1	4	1	4	1	3	1	3	2	-8	-88	-8	2	 	-88	1	1	1	1	1	0	 	0	1	0	1	0	0	 	-88	0	2	2	4	4	3	2	6	77	2	1	0	0	0	0	0	0	0	0	0	0	0	 	-88	0	0	1	-8	-8	-8	-8	-8	-8	-8	-8	-8	 	-8	-8	0	1	1	0	0	0	0	0	0	0	0	0	 	-88	-88	-88	0	3	 	-88	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	2	1	1	0	0	0	0	0	0	0	0	5.2860411899313
429735	BANCROFT POLICE DEPARTMENT	7608 WESLEYAN PL	LOUISVILLE	KY	40242	JEFFERSON	21111	 	3	107	1	0	2	0	2	2	2	 	-88	-88	-88	-88	-88	0	0	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	0	0	0	0	0	0	1	1	1	0	0	0	0	0	 	-88	-88	0	0	0	1	1	0	0	0	0	0	0	0	 	-88	-88	-88	0	3	-8	1	1	4	-8	-8	-8	-8	-8	-8	-8	-8	-8	-8	6.6611570247934
433755	BERTHOLD POLICE DEPARTMENT	223 MAIN ST N	BERTHOLD	ND	58718	 	38101	 	3	107	1	0	1	0	1	1	-9	 	-9	-9	-9	-9	-9	1	-9	10	2015	1	2	4	-8	-8	-8	-8	-8	-8	-8	-8	-8	-8	-8	-8	-8	 	-8	-8	2	-88	1	0	0	0	1	1	1	0	1	1	0	1	0	0	0	0	 	-88	0	1	 	-88	2	3	-8	-8	-8	-8	-8	-8	-8	-8	-8	-8	-8	-8	-8	 	-8	-8	-8	-8	-8	 	-8	-8	-8	-8	-8	-8	-8	-8	 	-8	-8	-8	-8	-8	-8	-8	-8	1	1	4	1	4	2	-8	2	-8	2	-8	1	4	1	4	1	4	1	4	2	-8	2	-8	2	 	-88	1	1	1	1	0	0	 	0	0	0	0	0	0	 	-88	0	3	3	4	4	3	3	2	2	2	1	0	0	0	0	0	0	0	0	0	0	0	 	-88	0	0	1	-8	-8	-8	-8	-8	-8	-8	-8	-8	 	-8	-8	0	0	0	0	0	0	0	0	0	0	0	0	 	1	1	0	0	11	 	-88	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	2	1	0	0	0	0	0	0	0	0	0	6.6611570247934
436979	NORFORK POLICE DEPARTMENT	PO BOX 239	NORFORK	AR	72658	GRANT	5005	WA0130400	3	105	2	0	1	0	2	1	2	 	-88	-88	-88	-88	-88	1	0	1	2012	2	2	4	-8	-8	-8	-8	-8	-8	-8	-8	-8	-8	-8	-8	-8	 	-8	-8	2	-88	1	0	1	1	1	1	1	1	1	1	1	1	0	0	0	0	 	-88	0	1	 	-88	2	3	-8	-8	-8	-8	-8	-8	-8	-8	-8	-8	-8	-8	-8	 	-8	-8	-8	-8	-8	 	-8	-8	-8	-8	-8	-8	-8	-8	 	-8	-8	-8	-8	-8	-8	-8	-8	1	1	4	1	4	1	4	-9	-9	-9	-9	1	4	1	3	1	4	1	4	1	4	-9	-9	2	 	-88	1	0	1	1	1	0	 	0	0	0	0	0	0	 	-88	0	2	2	3	3	3	3	3	3	2	1	0	0	0	0	1	0	0	0	0	0	0	 	-88	0	0	1	-8	-8	-8	-8	-8	-8	-8	-8	-8	 	-8	-8	0	0	0	1	0	0	0	0	0	0	1	0	 	-88	-88	-88	0	11	 	-88	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	3	1	0	0	0	0	0	0	0	0	0	5.1346153846154
