"_","ST","County","StateFIPS","CountyFIPS","S_C_Rate","U_C_Rate","Deaths","Population"
"","","","","","","","",""
"2008-2014, United States","","","","","","","",""
"Smoothed  Death Rates per 100,000 Population","","","","","","","",""
"Firearm, Homicide, All Races, All Ethnicities, Both Sexes, All Ages","","","","","","","",""
"Annualized Crude Rate for United States: 3.65","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"Reports for All Ages include those of unknown age.","","","","","","","",""
"* Rates based on 20 or fewer deaths may be unstable.  These rates are suppressed for counties (see legend above); such rates in the title have an asterisk.","","","","","","","",""
"","","","","","","","",""
"Rates appearing in this map have been geospatially smoothed.                                      m1770934 created 24MAR17:19:57     downloaded 08DEC20:19:50","","","","","","","",""
"","","","","","","","",""
"Types of Rates:    S_C_Rate = Smoothed, Crude Rate.","","","","","","","",""
".......................    U_C_Rate = Unsmoothed, Crude Rate.","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"Produced by: the Statistics, Programming & Economics Branch, National Center for Injury Prevention & Control, CDC","","","","","","","",""
"Data Sources: NCHS National Vital Statistics System for numbers of deaths; US Census Bureau for population estimates.","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","ST","County","StateFIPS","CountyFIPS","S_C_Rate","U_C_Rate","Deaths","Population"
"","AL","AUTAUGA","1","1","10.20193948","","","382981"
"","AL","BALDWIN","1","3","7.286470204","2.59481175","34","1310307"
"","AL","BARBOUR","1","5","6.54469855","","","191181"
"","AL","BIBB","1","7","8.595786567","","","158945"
"","AL","BLOUNT","1","9","8.172128227","","","402599"
"","AL","BULLOCK","1","11","11.59865608","","","75435"
"","AL","BUTLER","1","13","7.202480272","","","144433"
"","AL","CALHOUN","1","15","5.064301638","6.693473012","55","821696"
"","AL","CHAMBERS","1","17","4.917883843","","","239504"
"","AL","CHEROKEE","1","19","4.230146441","","","181721"
"","AL","CHILTON","1","21","4.715586926","","","305591"
"","AL","CHOCTAW","1","23","7.479883231","","","95832"
"","AL","CLARKE","1","25","3.921566752","","","179025"
"","AL","CLAY","1","27","5.600397091","","","96299"
"","AL","CLEBURNE","1","29","5.020348001","","","104746"
"","AL","COFFEE","1","31","4.522706009","","","351356"
"","AL","COLBERT","1","33","3.014180798","","","381275"
"","AL","CONECUH","1","35","6.154032187","","","91596"
"","AL","COOSA","1","37","3.587902081","","","78918"
"","AL","COVINGTON","1","39","3.152857953","","","264580"
"","AL","CRENSHAW","1","41","9.654450231","","","97675"
"","AL","CULLMAN","1","43","2.43222646","","","563918"
"","AL","DALE","1","45","4.147407241","","","349700"
"","AL","DALLAS","1","47","8.634308498","20.88021715","63","301721"
"","AL","DE KALB","1","49","2.837273922","","","496451"
"","AL","ELMORE","1","51","9.138289104","4.481949397","25","557793"
"","AL","ESCAMBIA","1","53","3.514274012","","","266393"
