"_","ST","County","StateFIPS","CountyFIPS","S_C_Rate","U_C_Rate","Deaths","Population"
"","","","","","","","",""
"2008-2014, United States","","","","","","","",""
"Smoothed  Death Rates per 100,000 Population","","","","","","","",""
"All Injury, Homicide, All Races, All Ethnicities, Both Sexes, All Ages","","","","","","","",""
"Annualized Crude Rate for United States: 5.31","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"Reports for All Ages include those of unknown age.","","","","","","","",""
"* Rates based on 20 or fewer deaths may be unstable.  These rates are suppressed for counties (see legend above); such rates in the title have an asterisk.","","","","","","","",""
"","","","","","","","",""
"Rates appearing in this map have been geospatially smoothed.                                      m9113517 created 26DEC16:23:33     downloaded 08DEC20:19:45","","","","","","","",""
"","","","","","","","",""
"Types of Rates:    S_C_Rate = Smoothed, Crude Rate.","","","","","","","",""
".......................    U_C_Rate = Unsmoothed, Crude Rate.","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"Produced by: the Statistics, Programming & Economics Branch, National Center for Injury Prevention & Control, CDC","","","","","","","",""
"Data Sources: NCHS National Vital Statistics System for numbers of deaths; US Census Bureau for population estimates.","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","ST","County","StateFIPS","CountyFIPS","S_C_Rate","U_C_Rate","Deaths","Population"
"","AL","AUTAUGA","1","1","12.68265425","","","382981"
"","AL","BALDWIN","1","3","9.743700896","3.586945655","47","1310307"
"","AL","BARBOUR","1","5","8.63343213","","","191181"
"","AL","BIBB","1","7","10.9537019","","","158945"
"","AL","BLOUNT","1","9","10.6050519","","","402599"
"","AL","BULLOCK","1","11","14.03247243","","","75435"
"","AL","BUTLER","1","13","9.057664585","","","144433"
"","AL","CALHOUN","1","15","7.463181361","9.614261235","79","821696"
"","AL","CHAMBERS","1","17","6.376578203","9.185650344","22","239504"
"","AL","CHEROKEE","1","19","6.273278395","","","181721"
"","AL","CHILTON","1","21","6.503195041","","","305591"
"","AL","CHOCTAW","1","23","9.813057817","","","95832"
"","AL","CLARKE","1","25","5.308462311","","","179025"
"","AL","CLAY","1","27","7.441623532","","","96299"
"","AL","CLEBURNE","1","29","7.016014286","","","104746"
"","AL","COFFEE","1","31","5.737761355","","","351356"
"","AL","COLBERT","1","33","4.675055932","","","381275"
"","AL","CONECUH","1","35","8.637238157","","","91596"
"","AL","COOSA","1","37","5.321041221","","","78918"
"","AL","COVINGTON","1","39","4.60059885","","","264580"
"","AL","CRENSHAW","1","41","11.75167163","","","97675"
"","AL","CULLMAN","1","43","4.083738254","","","563918"
"","AL","DALE","1","45","5.498809601","7.434944238","26","349700"
"","AL","DALLAS","1","47","11.04898799","24.19453734","73","301721"
"","AL","DE KALB","1","49","4.240321466","","","496451"
"","AL","ELMORE","1","51","11.51960223","6.09545118","34","557793"
"","AL","ESCAMBIA","1","53","5.180524621","12.01232765","32","266393"
