,AGENCYNAME,CITY,STATE,COUNTY,FIPS,ORI9,POPSERVED,AGENCYTYPE,State,County,TotalPop,Men,Women,Hispanic,White,Black,Native,Asian,Pacific,Income,Poverty,Unemployment,gun_homicide_rate_smoothed,lat,lng,PERS_TOTAL,OPER_DIS,PERS_WHITE,FRAC_WHITE,PERS_BLACK,FRAC_BLACK,PERS_HISP,POL_CULTAW,FRAC_HISP,CP_MISSION,CP_PLAN,POL_MENTILL,PERS_CULTURE,PERS_CONFLICT
0,DAVIS POLICE DEPARTMENT,DAVIS,CA,YOLO,6113,CA0570100,68111,1,CA,Yolo,207320.0,100937.0,106383.0,31.1,48.3,2.3,0.5,13.5,0.5,54989.0,19.9,9.0,4.2,38.732968,-121.8072828,60,37568,49,0.8166666666666667,1,0.016666666666666666,4,1,0.06666666666666667,1,2,1,2,2
3,BARABOO POLICE DEPARTMENT,BARABOO,WI,SAUK,55111,WI0570200,12173,1,WI,Sauk,62992.0,31578.0,31414.0,4.7,91.8,0.5,1.2,0.7,0.0,51055.0,12.3,5.5,1.1,43.4066375,-89.9253233,29,10000,28,0.9655172413793104,0,0.0,0,1,0.0,1,1,1,2,2
4,OREGON POLICE DEPARTMENT,OREGON,WI,DANE,55025,WI0137400,3334,1,WI,Dane,510198.0,252850.0,257348.0,6.2,80.8,5.0,0.2,5.4,0.0,62865.0,12.9,4.9,1.1,43.2505472,-89.5015088,18,5000,18,1.0,0,0.0,0,1,0.0,1,1,1,2,2
5,LOGAN CITY POLICE DEPARTMENT,LOGAN,UT,CACHE,49005,UT0030100,50676,1,UT,Cache,117449.0,58573.0,58876.0,10.3,84.1,0.7,0.5,2.2,0.3,50497.0,15.6,5.5,1.8,41.8353064,-112.00592959999999,59,22379,57,0.9661016949152542,0,0.0,1,1,0.01694915254237288,1,2,1,2,2
6,RIALTO POLICE DEPARTMENT,RIALTO,CA,SAN BERNARDINO,6071,CA0360900,103314,1,CA,San Bernardino,2094769.0,1042053.0,1052716.0,51.1,31.2,8.1,0.4,6.5,0.3,53433.0,19.5,12.6,3.9,34.1083449,-117.2897652,105,83888,55,0.5238095238095238,11,0.10476190476190476,36,2,0.34285714285714286,1,1,1,1,1
7,BROOMFIELD POLICE DEPARTMENT,BROOMFIELD,CO,BROOMFIELD,8014,CO0640100,66529,1,CO,Broomfield,60699.0,30075.0,30624.0,11.9,78.2,0.9,0.2,5.9,0.0,81898.0,6.5,5.5,1.7,39.9205411,-105.0866504,156,32000,135,0.8653846153846154,3,0.019230769230769232,15,1,0.09615384615384616,1,2,1,2,2
8,GREENCASTLE POLICE DEPARTMENT,GREENCASTLE,IN,PUTNAM,18133,IN0670100,10508,1,IN,Putnam,37650.0,19967.0,17683.0,1.8,91.9,4.0,0.2,0.9,0.0,51355.0,10.2,7.3,1.3,39.690996999999996,-86.8220341,16,3000,16,1.0,0,0.0,0,1,0.0,1,1,1,2,2
10,LEAVENWORTH POLICE DEPARTMENT,LEAVENWORTH,KS,LEAVENWORTH,20103,KS0520100,36154,1,KS,Leavenworth,78227.0,41806.0,36421.0,6.6,79.3,8.3,0.6,1.6,0.1,63726.0,11.4,5.9,4.2,39.3111112,-94.9224637,62,22597,54,0.8709677419354839,4,0.06451612903225806,4,1,0.06451612903225806,1,1,1,2,2
11,KENTON COUNTY POLICE DEPARTMENT,INDEPENDENCE,KY,KENTON,21117,KY0590500,37955,1,KY,Kenton,163007.0,80417.0,82590.0,2.9,89.2,4.5,0.2,1.2,0.0,54296.0,14.6,7.7,6.0,38.9863872,-84.56414699999998,35,29010,33,0.9428571428571428,0,0.0,1,1,0.02857142857142857,1,1,1,2,2
12,WILLIAMSBURG POLICE DEPARTMENT,WILLIAMSBURG,KY,WHITLEY,21235,KY1180200,5313,1,KY,Whitley,35794.0,17493.0,18301.0,1.0,96.1,0.9,0.2,0.4,0.0,31014.0,26.0,10.2,3.8,36.726335,-84.1857115,14,8500,14,1.0,0,0.0,0,1,0.0,1,1,1,1,1
13,JACKSON PARISH SHERIFFS OFFICE,JONESBORO,LA,JACKSON,22049,LA0250000,15808,2,LA,Jackson,16109.0,8288.0,7821.0,1.5,66.5,30.2,0.2,0.2,0.0,38029.0,26.5,6.9,6.7,30.837403600000002,-91.2176087,58,10602,55,0.9482758620689655,3,0.05172413793103448,0,2,0.0,1,1,2,2,2
15,ST JOHN THE BAPTIST PARISH SHERIFF'S OFFICE,LA PLACE,LA,ST. JOHN THE BAPTIST PARISH,22095,LA0480000,43631,2,LA,St. John the Baptist,44161.0,21467.0,22694.0,5.3,38.0,54.2,0.1,0.5,0.3,50921.0,18.2,9.2,8.6,30.111833100000002,-90.4879916,238,53020,120,0.5042016806722689,115,0.4831932773109244,2,1,0.008403361344537815,1,2,1,2,2
16,GREENE COUNTY SHERIFF'S OFFICE,SPRINGFIELD,MO,GREENE,29077,MO0390000,288690,2,MO,Greene,283206.0,137929.0,145277.0,3.3,88.7,3.1,0.4,1.8,0.1,41227.0,19.0,6.8,3.0,37.3311215,-93.5003454,165,35000,159,0.9636363636363636,2,0.012121212121212121,2,1,0.012121212121212121,2,2,1,2,2
17,HINDS COUNTY SHERIFF'S DEPARTMENT,JACKSON,MS,HINDS,28049,MS0250000,241229,2,MS,Hinds,245874.0,115233.0,130641.0,1.6,26.6,70.1,0.1,0.8,0.0,37324.0,25.9,10.3,12.8,32.2648353,-90.3748354,99,1207,31,0.31313131313131315,68,0.6868686868686869,0,1,0.0,1,1,1,2,2
18,HARRINGTON PARK POLICE,HARRINGTON PARK,NJ,BERGER,34003,NJ0022400,4806,1,NJ,Bergen,926330.0,448049.0,478281.0,17.9,59.4,5.3,0.1,15.5,0.0,85806.0,7.4,6.5,3.0,40.926276200000004,-74.07701,11,5000,11,1.0,0,0.0,0,1,0.0,1,1,1,1,1
19,HAWORTH POLICE,HAWORTH,NJ,BERGEN,34003,NJ0022600,3464,1,NJ,Bergen,926330.0,448049.0,478281.0,17.9,59.4,5.3,0.1,15.5,0.0,85806.0,7.4,6.5,3.0,40.926276200000004,-74.07701,11,1000,11,1.0,0,0.0,0,1,0.0,-8,1,1,2,2
20,WEST WINDSOR TOWNSHIP POLICE,PRINCETON JUNCTION,NJ,MERCER,34021,NJ0111300,28207,1,NJ,Mercer,370212.0,181158.0,189054.0,16.2,52.3,19.6,0.1,10.1,0.0,72804.0,11.5,9.4,1.6,40.3028533,-74.7337069,47,14236,44,0.9361702127659575,1,0.02127659574468085,1,1,0.02127659574468085,1,1,1,1,1
21,PURCELL POLICE DEPARTMENT,PURCELL,OK,MCCLAIN,40087,OK0440200,6442,1,OK,McClain,36512.0,18217.0,18295.0,7.5,79.9,0.9,5.1,0.6,0.4,56088.0,10.9,3.9,2.6,35.0282316,-97.48141629999999,20,5477,20,1.0,0,0.0,0,1,0.0,1,1,1,2,2
22,WOODFIN POLICE DEPARTMENT,WOODFIN,NC,BUNCOMBE CO,37021,NC0110600,6383,1,NC,Buncombe,247336.0,118950.0,128386.0,6.4,83.8,6.2,0.4,1.1,0.0,45167.0,15.9,7.0,2.8,35.59313770000001,-82.4752757,16,5000,13,0.8125,1,0.0625,0,2,0.0,1,2,2,2,2
25,GRAND ISLE POLICE DEPARTMENT,GRAND ISLE,LA,JEFFERSON,22051,LA0260500,1416,1,LA,Jefferson,435092.0,211216.0,223876.0,13.6,54.4,25.9,0.4,4.1,0.0,47947.0,16.8,6.7,14.8,29.96603709999999,-90.1531298,46,1500,46,1.0,0,0.0,0,2,0.0,-8,2,2,1,1
27,BERKELEY COUNTY SHERIFF'S OFFICE,MONCKS CORNER,SC,BERKELEY,45015,SC0080000,210898,2,SC,Berkeley,193613.0,96518.0,97095.0,6.1,64.0,24.3,0.5,2.4,0.1,52506.0,13.9,9.9,7.6,33.1260618,-80.0087746,153,20329,126,0.8235294117647058,26,0.16993464052287582,1,1,0.006535947712418301,1,2,1,2,2
28,PINE BLUFF POLICE DEPARTMENT,PINE BLUFF,AR,JEFFERSON,5069,AR0350100,43841,1,AR,Jefferson,73548.0,36165.0,37383.0,1.9,40.5,55.5,0.1,0.8,0.1,36747.0,25.5,11.2,11.6,34.3806516,-92.1640352,131,47431,49,0.37404580152671757,78,0.5954198473282443,0,1,0.0,1,1,1,2,2
30,CHARLOTTE COUNTY SHERIFF'S OFFICE,CHARLOTTE COURT HOUSE,VA, ,51037,VA0200000,12129,2,VA,Charlotte,12313.0,6129.0,6184.0,0.7,66.8,31.2,0.1,0.1,0.0,35079.0,21.3,4.9,3.5,37.0467412,-78.61149990000001,19,6000,18,0.9473684210526315,1,0.05263157894736842,0,1,0.0,1,1,1,2,2
33,KOKOMO POLICE DEPARTMENT,KOKOMO,IN,HOWARD,18067,IN0340100,51572,1,IN,Howard,82765.0,39916.0,42849.0,3.0,86.2,6.9,0.2,1.2,0.0,44226.0,17.8,9.2,2.1,39.9161499,-87.37557029999998,95,32310,87,0.9157894736842105,3,0.031578947368421054,1,1,0.010526315789473684,1,1,1,1,2
37,MOUNT MORRIS  POLICE DEPARTMENT,MOUNT MORRIS,NY,LIVINGSTON,36051,NY0252600,2868,1,NY,Livingston,64801.0,32469.0,32332.0,3.3,91.2,2.2,0.1,1.3,0.0,51734.0,14.8,5.4,2.5,42.1424234,-73.77791619999998,15,8300,14,0.9333333333333333,0,0.0,1,1,0.06666666666666667,1,1,1,-9,-9
40,JERSEY CITY POLICE DEPARTMENT,JERSEY CITY,NJ,HUDSON,34017,NJ0090600,264152,1,NJ,Hudson,662619.0,329204.0,333415.0,42.8,29.4,11.1,0.1,14.5,0.0,59741.0,17.5,9.3,3.2,40.7453199,-74.05351259999998,854,220856,340,0.3981264637002342,95,0.11124121779859485,268,1,0.31381733021077285,1,1,1,2,2
41,TULSA POLICE DEPARTMENT,TULSA,OK, ,40143,OK0720500,396790,1,OK,Tulsa,623335.0,303789.0,319546.0,11.7,64.0,9.9,4.4,2.6,0.1,49759.0,15.7,6.5,6.6,36.1539816,-95.992775,728,293806,552,0.7582417582417582,64,0.08791208791208792,23,1,0.03159340659340659,1,1,1,1,1
42,PITTSBURGH CITY POLICE DEPARTMENT,PITTSBURGH,PA,ALLEGHENY,42003,PAPPD0000,303625,1,PA,Allegheny,1231145.0,592511.0,638634.0,1.8,79.6,12.9,0.1,3.3,0.0,53040.0,13.0,7.1,4.7,40.4450813,-80.0087746,892,236884,760,0.852017937219731,115,0.1289237668161435,10,1,0.011210762331838564,1,1,1,1,1
43,PHILADELPHIA CITY POLICE DEPARTMENT,PHILADELPHIA,PA,PHILA,42063,PAPEP0000,1567872,1,PA,Indiana,87895.0,44252.0,43643.0,1.3,93.9,2.3,0.2,1.1,0.0,45195.0,17.3,7.8,2.1,40.621455100000006,-79.15253489999998,6031,1500000,3450,0.5720444370751119,1961,0.32515337423312884,505,2,0.08373404078925552,1,2,1,2,2
44,OPEILKA POLICE DEPARTMENT,OPELIKA,AL,LEE,1081,AL0430200,29869,1,AL,Lee,150982.0,74277.0,76705.0,3.7,68.2,23.0,0.1,3.3,0.0,44570.0,23.8,7.3,9.7,32.5888702,-85.39627689999998,82,81783,65,0.7926829268292683,14,0.17073170731707318,3,2,0.036585365853658534,-8,2,2,2,2
49,RICHLAND COUNTY SHERIFF'S OFFICE,COLUMBIA,SC,RICHLAND,45079,SC0400000,409549,2,SC,Richland,397899.0,193206.0,204693.0,5.0,44.3,45.5,0.1,2.7,0.1,49131.0,17.1,9.4,6.4,34.0412165,-80.9428911,528,172797,347,0.6571969696969697,157,0.29734848484848486,21,2,0.03977272727272727,1,1,2,1,1
55,ESCONDIDO POLICE DEPARTMENT,ESCONDIDO,CA,SAN DIEGO,6073,CA0370600,151613,1,CA,San Diego,3223096.0,1618945.0,1604151.0,32.9,47.0,4.7,0.4,11.2,0.4,64309.0,14.5,8.7,1.7,32.715738,-117.1610838,156,52582,0,0.0,0,0.0,0,1,0.0,1,1,1,1,1
57,WALTON COUNTY SHERIFF'S OFFICE,DEFUNIAK SPRINGS,FL,WALTON,12131,FL0660000,65889,2,FL,Walton,59487.0,30176.0,29311.0,5.9,84.3,5.1,0.9,1.2,0.2,44966.0,17.1,7.9,3.1,30.56401989999999,-86.17517590000001,117,126000,104,0.8888888888888888,8,0.06837606837606838,5,2,0.042735042735042736,1,2,1,2,2
58,COLUMBUS POLICE DEPARTMENT,COLUMBUS,GA,MUSCOGEE,13215,GA1060100,197485,1,GA,Muscogee,200285.0,98321.0,101964.0,7.3,42.4,44.2,0.3,2.3,0.2,42306.0,20.5,11.0,9.0,32.479413300000004,-84.8984775,407,165000,289,0.7100737100737101,102,0.25061425061425063,9,2,0.022113022113022112,2,2,1,2,2
60,HONOLULU POLICE DEPARTMENT,HONOLULU,HI, ,15003,HI0020000,992605,1,HI,Honolulu,984178.0,498129.0,486049.0,9.2,19.5,2.5,0.1,41.6,8.6,74460.0,9.7,5.6,0.5,21.3069444,-157.8583333,1961,606081,235,0.1198368179500255,26,0.013258541560428353,23,1,0.011728709841917389,1,1,1,2,2
