Police Department,Requires De-Escalation,"(Policy Language) Requires De-Escalation: Does the policy require officers to de-escalate situations, when possible?",Bans Chokeholds and Strangleholds,"(Policy Language) Bans Chokeholds and Strangleholds: Are chokeholds and strangleholds (including carotid restraints) explicitly prohibited, except in situations where deadly force is authorized?",Duty to Intervene,(Policy Language) Duty to Intervene: Are officers required to intervene when witnessing another officer using excessive force?,Requires Warning Before Shooting,"(Policy Language) Requires Warning Before Shooting: Are officers required to give a verbal warning, when possible, before shooting someone?",Restricts Shooting at Moving Vehicles,(Policy Language) Restricts Shooting at Moving Vehicles: Are officers prohibited from shooting at people in moving vehicles unless the subject presents a separate deadly threat other than the vehicle itself?,Requires Comprehensive Reporting,"(Policy Language) Requires Comprehensive Reporting: Are all uses of force required to be reported, including the pointing of a firearm at a civilian?",Requires Exhaust All Other Means Before Shooting,(Policy Language) Requires Exhaust All Other Means Before Shooting: Are officers required to exhaust all other reasonable alternatives before resorting to deadly force?,Has Use of Force Continuum,"(Policy Language) Has Use of Force Continuum: Is a Force Continuum or Matrix included in the Policy, defining the types of force/weapons that can be used to respond to specific types of resistance?",Year of most recent policy,Total Population,Updated Since 2016,Year of most recent policy,Requires De-Escalation New,Use of Force Continuum New,Ban Chokeholds and Strangleholds New,Require Warning Before Shooting New,Ban Shooting at Moving Vehicles New,Exhaust All Alternatives New,Duty to Intervene New,Comprehensive Reporting New
Albuquerque,1,"Yes. Policy states ""When circumstances allow, in their interaction with subjects, officers should use advisements, warning, verbal persuasion, and other tactics in an attempt to resolve the incident."" O.5. And ""Officers are expected to recognize their approach to citizen interactions may influence whether a situation escalates to the need to use force.""",1,"Yes. Policy states ""Neck holds shall be considered lethal force and are prohibited except where
lethal force is authorized.""",1,"Yes. Policy states ""Any officer present and observing another officer using force that is clearly beyond that which is objectively reasonable under the circumstances shall, when in a position to do so, safely intercede to prevent the use of such force.""",1,"Yes. Policy states warning ""should be given when feasible""",0,"This city is currently reviewing/considering a comprehensive policy that would ban shooting at moving vehicles including 1. a ban on shooting for the sole purpose of disabling the vehicle 2. only allowing shooting if deadly force is being used against an officer, or another person, by means other than the vehicle (e.g. an occupant is shooting from the vehicle) and 3. requiring officers to move out of the path of moving vehicle.",1,"Yes. All uses of force required to be reported including: ""Show of Force A show of force shall be done only as objectively reasonable to
accomplish a lawful police objective. It shall be reported following the requirements
set forth in SOP 2-54 Use of Force Reporting and Supervisory Force Investigation
Requirements .""",0,This city is currently reviewing/considering adopting a policy that requires officer exhaust all means before resorting to deadly force.,1,Yes. Use of Force policy contains a Use of Force Continuum and/or matrix.,2016,545852,0,2016,yes (pre-launch),yes (pre-launch),yes (pre-launch),yes (pre-launch),under review,under review,yes (pre-launch),yes (pre-launch)
Anaheim,0,No. Policy does not require officers to use de-escalation whenever possible.,1,The state of California signed legislation to ban all forms of neck restraints in September 2020.,1,"Yes. Policy states ""300.2.1 DUTY TO INTERCEDE
Any officer present and observing another officer using force that is clearly beyond that which is
reasonable under the circumstances shall, when in a position to do so, intercede to prevent the
use of such excessive force. An officer who observes another employee use force that exceeds
the degree of force permitted by law should promptly report these observations to a supervisor.""",1,"Yes. Policy states ""Under such circumstances, a verbal warning should precede the use of deadly force, where feasible.""",0,"No. Allows officers to shoot at moving vehicles even when only the vehicle itself is considered a threat. 
""300.4.1 SHOOTING AT OR FROM MOVING VEHICLES
Shots fired at or from a moving vehicle are rarely effective. Officers should move out of the path of
an approaching vehicle instead of discharging their firearm at the vehicle or any of its occupants.
An officer should only discharge a firearm at a moving vehicle or its occupants when the officer
reasonably believes there are no other reasonable means available to avert the threat of the
vehicle, or if deadly force other than the vehicle is directed at the officer or others.
Officers should not shoot at any part of a vehicle in an attempt to disable the vehicle.""",0,No. Officers are not required to report when they point a firearm at a civilian.,0,"No. Policy does not explicitly state that officers are required to exhaust other reasonable means before resorting to deadly force, when feasible.",1,Yes. Use of Force policy contains a Use of Force Continuum and/or matrix.,2015,336265,1,2020,no,yes (pre-launch),yes (post-launch),yes (pre-launch),no,no,yes (pre-launch),no
Anchorage,1,"Yes. Policy states ""Officers shall accomplish their duties in a manner that minimizes the need for force and maximizes voluntary compliance. If applied, officers shall use only that level of control which is reasonably necessary and lawful in executing their duties as peace officers. When possible, officers should continue to attempt to gain compliance by means of verbal directives or commands. No employee of the department shall engage in any conduct that could reasonably be expected to unnecessarily escalate a situation__s potential for violence.""",0,"This city is currently reviewing policies that would ban all types of neck restraint, except in circumstances where lethal force is authorized.",0,This city is currently reviewing the adoption of a Duty to Intervene policy.,0,"No. Policy does not require officers to issue a verbal warning before using deadly force and/or shooting, when feasible.",1,"Yes. Policy states officers shall not discharge their weapon ""At or from a moving vehicle unless Deadly Force is authorized. Under no circumstances is a firearm to be used to disable or attempt to disable a vehicle unless specifically authorized by a Command Officer.""",0,No. Officers are not required to report when they point a firearm at a civilian.,0,This city is currently reviewing/considering adopting a policy that requires officer exhaust all means before resorting to deadly force.,1,Yes. Use of Force policy contains a Use of Force Continuum and/or matrix.,2013,291826,0,2013,yes (pre-launch),yes (pre-launch),under review,under review,yes (pre-launch),under review,under review,no
Arlington,1,"Yes. Policy states ""Where the circumstances permit, it is the employee's responsibility to first exhaust every reasonable means of employing the minimum amount of force, including the police employee's physical presence and verbal skills, before escalating to a more severe application of force.",0,No. Strangle/carotid holds are banned but chokeholds are not.,1,"Yes. Policy states ""An employee has a duty to intervene to prevent or stop the use of excessive force by another employee when it I safe and reasonable to do so.""",1,"Yes. Policy requires officers to issue a verbal warning before using deadly force and/or shooting, when feasible.",0,"No. Policy does not specify that an officer may not shoot at a moving vehicle for the sole purpose of disabling it, and that officers must make every attempt to move out of the path of the vehicle. Policy states ""Officers will not discharge a firearm at or from a moving vehicle except when the suspect is using deadly force against the officer or others by means other than the vehicle or when all other reasonable means of defense have failed.""",1,"Yes. Policy states ""When Written Report Required. Unless injury prevents it, before the end of the employee's shift, a Use of Force report will be submitted when an employee: (Re-numbered and Revised 06-01-93)
1. takes an action that results in or is alleged to have resulted in injury or death of another person; (A 1.3.6b.)
2. applies force through the use of: (Revised 06-01-93)
-empty hand control; (A 1.3.6d.)
-drawing a firearm in response to the presence of any subject unless the officer is acting in accordance with general maintenance, storage, or authorized training; (Added 06-18-03) (A 1.3.6d.)
-pointing a firearm at any subject; (A 1.3.6d.)
_Ã…Â  handcuffing a person who is released without arrest; (A 1.3.6d.)
_Ã…Â  chemical irritant (oleoresin-capsicum spray, CS or CN gas); (A 1.3. 6c.)
_Ã…Â  TASER and/or the accidental discharge of a TASER; (A 1.3.6c.) (Added 06-04-04) (Revised 12-18-06)
_Ã…Â  impact weapon; (A 1.3.6c.)
_Ã…Â  Vascular Neck Restraint; (A 1. 3.6c.)
_Ã…Â  discharge of firearm on or off-duty (training and recreation are exempted); (Revised 11-01-97) (A 1.3.6a.)
_Ã…Â  diversionary device; (A 1.3.6d.)
_Ã…Â  apprehension by dog. (A 1.3.6d.)""",1,"Yes. ""Where the circumstances permit, it is the employee's responsibility to first exhaust every reasonable means of employing the minimum amount of force, including the police employee's physical presence and verbal skills, before escalating to a more severe application of force.""
""When police personnel should reasonably perceive that the potential exists that deadly force may be an outcome of any situation, the employee must plan ahead and use reasonable alternatives if time and opportunities permit. ""Reasonable alternatives"" is defined as an action that may be taken by police personnel that may allow the employee to avoid the use of deadly force. The reasonableness of the action is based on the time available, the opportunity of performing the action, and the facts apparent to the employee before and during the incident. This includes the presence of innocent third persons. Planned and supervised hazardous entry situations are recognized as meeting the requirement of reasonable alternatives.""",1,Yes. Use of Force policy contains a Use of Force Continuum and/or matrix.,2017,365438,1,2020,yes (pre-launch),yes (pre-launch),no,yes (post-launch),no,yes (pre-launch),yes (pre-launch),yes (pre-launch)
Atlanta,1,"Yes. Use of Force policy requires officers to attempt to de-escalate a situation, when feasible.",1,"Yes. Policy states ""Warning shots; neck restraints; carotid artery holds; other weaponless control techniques that are not taught or approved by the department due to the potential for serious injury or death; ""unless they are in an emergency situation or under exigent circumstances where it is immediately necessary to use force to prevent serious bodily injury or death and city-issued and/or authorized lethal or less lethal weapons are inoperable, inaccessible, or otherwise not available or effective.""",1,"Yes. Policy states ""Duty to Intercede Any police officer present and observing another police officer using force that is beyond that which is objectively reasonable under the circumstances shall, when in a position to do so, safely intercede to prevent the use of such force. Officers shall immediately report these observations to an on-duty supervisor.""",0,"No. Policy does not require officers to issue a verbal warning before using deadly force and/or shooting, when feasible.",0,No. Policy does not outline a comprehensive ban on shooting at moving vehicles,0,No. Officers are not required to report when they point a firearm at a civilian.,0,"No. Policy does not explicitly state that officers are required to exhaust other reasonable means before resorting to deadly force, when feasible.",1,Yes. Use of Force policy contains a Use of Force Continuum and/or matrix.,2013,420003,1,2020,yes (post-launch),yes (pre-launch),yes (pre-launch),no,no,no,yes (post-launch),no
Aurora,0,"No. Policy states ""the department has adopted a Less Lethal force philosophy to assist in the de-escalation of potentially violent confrontations."" These forms of force (including Taser, chemical agents, rubber bullets, baton) can be used ""as an alternative to greater force.""",1,"Yes. New policy states ""5.8.3 Carotid Control Hold (Prohibited) As of June 9, 2020, members are not authorized to use the carotid control hold,or any choke hold that restricts the airway.""",1,"Yes. Policy states ""Any peace officer who, in the pursuance of law enforcement duties, witnesses another peace officer, in the pursuance of law enforcement duties, use physical force which exceeds the degree of physical force permitted by CRS 18-1-797, must immediately notify a supervisory officer of this use of force.""",1,"No. Policy does not require officers to issue a verbal warning before using deadly force and/or shooting, when feasible.",1,"Yes. Policy states ""Members should not discharge a firearm at a moving vehicle unless a person in the vehicle is immediately threatening the member or another person with deadly force by
a means other than the vehicle.""",1,Yes. Policy states officers are required to report all uses of force including intentionally pointing a firearm at a civilian.,1,"Yes. ""They will use such force only when there are strong and compelling reasons and only after all reasonable alternatives have been considered.""",1,Yes. Use of Force policy contains a Use of Force Continuum and/or matrix.,2016,325078,1,2020,no,yes (pre-launch),yes (post-launch),yes (post-launch),yes (pre-launch),yes (pre-launch),yes (pre-launch),yes (pre-launch)
Austin,0,This city is currently reviewing/considering adopting a required de-escalation policy.,0,This city is currently reviewing/considering adopting a policy that would ban chokeholds and strangle/carotid holds.,1,"Yes. Policy states ""Any officer present and observing another officer using force that is clearly beyond that which is objectively reasonable under the circumstances shall, when in a position to do so, intercede to prevent the use of such excessive force. Such officers should also promptly report these observations to a supervisor.""",1,"Yes. Policy states ""202.1.1: Where feasible, a warning should be given before an officer resorts to deadly force as outlined (a), (b) or (c) above. A specific warning that deadly force will be used is not required by this policy; only that a warning be given if feasible.""",0,"No. Policy does not specify that an officer may not shoot at a moving vehicle for the sole purpose of disabling it and does not state that a threat other than the vehicle itself must be present. Policy states ""202.1.3: (a) Officers shall exercise good judgment and will not place themselves in the path of a moving
vehicle since doing so may increase the likelihood of having to resort to the use of deadly
force.
(b) Unless it reasonably appears that it would endanger officers or the public, officers will move
out of the path of any approaching vehicle.

(d) This is not intended to restrict an officer's right to use deadly force directed at the operator
of a vehicle when it is reasonably perceived that the vehicle is being used as a weapon
against the officer or others.""",0,No. Officers are not required to report when they point a firearm at a civilian.,0,This city is currently reviewing/considering adopting a policy that requires officer exhaust all means before resorting to deadly force.,1,Yes. Use of Force policy contains a Use of Force Continuum and/or matrix.,2015,790390,0,2015,under review,yes (pre-launch),under review,yes (pre-launch),no,under review,yes (pre-launch),no
Bakersfield,0,This city is currently reviewing/considering adopting a required de-escalation policy.,1,The state of California signed legislation to ban all forms of neck restraints in September 2020.,1,"Yes. Policy states ""Duty to Intercede: Any officer present and observing another officer using force that is clearly beyond that which is objectively reasonable under the circumstances shall, when in a position to do so, intercede to prevent the use of unreasonable force. An officer who observes another employee use force that exceeds the degree of force permitted by law should promptly report these observations of a supervisor.""",1,"Yes. Policy states ""Under such circumstances, a verbal warning should precede the use of deadly force, where feasible.""",0,"This city is currently reviewing/considering a comprehensive policy that would ban shooting at moving vehicles including 1. a ban on shooting for the sole purpose of disabling the vehicle 2. only allowing shooting if deadly force is being used against an officer, or another person, by means other than the vehicle (e.g. an occupant is shooting from the vehicle) and 3. requiring officers to move out of the path of moving vehicle.",0,"This city is currently reviewing/considering adopting comprehensive reporting, which includes required reporting for when an officer aims a firearm at someone.",0,"No. Policy does not explicitly state that officers are required to exhaust other reasonable means before resorting to deadly force, when feasible.",0,No use of force continuum or matrix found in Police Department Use of Force Policy,2017,347483,1,2020,under review,no,yes (post-launch),yes (pre-launch),under review,no,yes (pre-launch),under review
Baltimore,1,"Yes. Policy states ""Recognizing that mental illness, post-traumatic stress disorder, alcohol and.or drug addictions, or other health issues can cause individuals to behave erratically, members must try to de-escalate situations and minimize or avoid using force altogether, when possible, to prevent injuries to the subject, the public and the member.""
""Members shall use de-escalation techniques whenever possible and appropriate, before resorting to force and to reduce the need for force. De-escalation techniques may include verbal persuasion, warnings and tactical de-escalation techniques, such as slowing down the pace of an incident, waiting out subjects, creating distance (and thus the reactionary gap) between the member and the threat, and requesting additional resources (e.g., specialized uniteds, mental health care providers, negotiators, etc.) to resolve the incident.""",1,"Yes. Restricts chokeholds and all neck holds to only be authorized as deadly force. 
Chokehold/Neck Hold Ã‘ A Chokehold or Neck hold is any hold or contact with the neck that may inhibit
breathing by compression of the airway in the neck, may inhibit blood flow by compression of the blood
vessels in the neck, or that applies pressure to the front, side, or back of the neck. Chokeholds/Neck Holds
are prohibited unless the use of Deadly Force/Lethal Force is justified. 
Bans chokeholds but not strangleholds (i.e. Carotid Restraints). ""Choke holds are prohibited unless deadly force is authorized and no reasonable alternative exists.""",1,"Yes. Policy states ""Members have a duty to intercede to prevent the use of excessive force by another member toward any person.""",1,"Yes. Policy states ""A member may use deadly force to prevent the escape of a fleeing suspect if an objectively reasonable officer would believe that it is necessary and that there is probable cause to believe that: The officer has given a verbal warning to the suspect, if time, safety, and circumstances permit."" and ""When practical, a member should identify himself/herself as a law enforcement officer and state his/her intention to use deadly force before using a firearm or employing deadly force.""",0,"No. Policy does not specify that an officer may not shoot at a moving vehicle for the sole purpose of disabling it and does not state that a threat other than the vehicle itself must be present. Policy states ""Members shall not fire any weapon from or at a moving vehicle, except: To counter a situation where the officer is unavoidably in the path of the vehicle and cannot move to safety. Officers should avoid positioning themselves in the path of a moving vehicle where they have no option but to use deadly force.""",1,"Yes. Policy states requirement to report all uses of force including ""Pointing a firearm or CEW at an individual""",1,"Yes. ""If at all possible, officers should try to use a less deadly means, bearing in mind that deadly force should be a last resort."" (In Training Guideline Vol. 20, No. 1, Section 5.B)",1,Yes. Use of Force policy contains a Use of Force Continuum and/or matrix.,2016,620961,0,2016,yes (pre-launch),yes (pre-launch),yes (pre-launch),yes (pre-launch),no,yes (pre-launch),yes (pre-launch),yes (pre-launch)
Baton Rouge,0,This city is currently reviewing/considering adopting a required de-escalation policy.,1,"Yes. Officers will not employ chokeholds or strangleholds, except in emergency circumstances where it is immediately necessary to use deadly force and the authorized weapons are inoperable, inaccessible or otherwise not available. http://www.wafb.com/story/34407935/mayor-broome-reveals-changes-to-brpd-use-of-force-policies",1,Yes. Officers will be required to intervene to prevent another officer from using excessive force.,1,"Yes. Policy states ""Officers are required to give a verbal warning, when possible, before using deadly force.""",0,"This city is currently reviewing/considering a comprehensive policy that would ban shooting at moving vehicles including 1. a ban on shooting for the sole purpose of disabling the vehicle 2. only allowing shooting if deadly force is being used against an officer, or another person, by means other than the vehicle (e.g. an occupant is shooting from the vehicle) and 3. requiring officers to move out of the path of moving vehicle.",0,No. Officers are not required to report when they point a firearm at a civilian.,1,"Yes. Policy states ""Employees shall employ deadly force only in defense of their own lives or in defense of the life of another person. It is essential that the employees reasonably believes that he or some other person is in immediate and apparent danger of suffering death or great bodily harm and that the use of deadly force is the only prudent preventative measure available to him.""",1,Yes. Use of Force policy contains a Use of Force Continuum and/or matrix.,2017,229493,0,2017,under review,yes (pre-launch),yes (pre-launch),yes (pre-launch),under review,yes (pre-launch),yes (pre-launch),no
