race,date,city_wapo,state,body_camera,AGENCYNAME,POL_BWC,PERS_TRN_ACAD,PERS_TRN_FIELD,POL_COMP_EXTINV,POL_INV_INJRY,POL_INV_DTH,POL_INV_DCHG_GUN,PERS_CULTURE,PERS_CONFLICT,PERS_TOTAL,PERS_WHITE,FRAC_WHITE,PERS_BLACK,FRAC_BLACK,PERS_HISP,FRAC_HISP,PERS_AMIND,FRAC_AMIND,PERS_ASIAN,FRAC_ASIAN,PERS_HAWPI,FRAC_HAWPI,PERS_MULTI,FRAC_MULTI,PERS_UNK,FRAC_UNK
A,2015-01-02,Shelton,WA,0,MASON COUNTY SHERIFF'S OFFICE,0,720,480,0,1,1,1,1,1,54,48,0.8888888888888888,1,0.018518518518518517,2,0.037037037037037035,3,0.05555555555555555,0,0.0,0,0.0,0,0.0,0,0.0
W,2015-01-02,Aloha,OR,0,WASHINGTON COUNTY SHERIFF'S OFFICE,1,920,1640,0,0,1,1,1,1,402,357,0.8880597014925373,6,0.014925373134328358,17,0.04228855721393035,3,0.007462686567164179,16,0.03980099502487562,0,0.0,0,0.0,3,0.007462686567164179
H,2015-01-03,Wichita,KS,0,WICHITA POLICE DEPARTMENT,1,960,480,0,1,1,0,1,1,678,566,0.8348082595870207,42,0.061946902654867256,47,0.06932153392330384,2,0.0029498525073746312,21,0.030973451327433628,0,0.0,0,0.0,0,0.0
W,2015-01-04,San Francisco,CA,0,SAN FRANCISCO POLICE DEPARTMENT,1,1304,640,1,0,1,1,0,0,2356,1181,0.5012733446519525,222,0.09422750424448217,383,0.16256366723259763,7,0.0029711375212224107,385,0.16341256366723259,140,0.059422750424448216,0,0.0,38,0.016129032258064516
H,2015-01-04,Evans,CO,0,EVANS POLICE DEPARTMENT,1,840,720,0,1,1,1,0,0,34,27,0.7941176470588235,0,0.0,7,0.20588235294117646,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
W,2015-01-04,Guthrie,OK,0,OKLAHOMA HIGHWAY PATROL,1,1221,600,0,0,0,0,0,0,799,670,0.8385481852315394,31,0.03879849812265332,1,0.0012515644555694619,93,0.11639549436795996,4,0.0050062578222778474,0,0.0,0,0.0,0,0.0
H,2015-01-05,Chandler,AZ,0,CHANDLER POLICE DEPARTMENT,1,880,520,1,0,0,0,0,0,322,280,0.8695652173913043,5,0.015527950310559006,32,0.09937888198757763,0,0.0,5,0.015527950310559006,0,0.0,0,0.0,0,0.0
W,2015-01-06,Assaria,KS,0,SALINE COUNTY SHERIFF'S OFFICE,1,560,440,0,0,1,0,0,0,36,33,0.9166666666666666,1,0.027777777777777776,1,0.027777777777777776,0,0.0,0,0.0,1,0.027777777777777776,0,0.0,0,0.0
W,2015-01-06,Burlington,IA,1,HENRY COUNTY SHERIFF'S OFFICE,0,480,120,0,1,1,0,0,0,11,11,1.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
B,2015-01-06,Knoxville,PA,0,ALLEGHENY COUNTY SHERIFF'S OFFICE,0,960,160,0,1,1,0,0,0,160,141,0.88125,16,0.1,2,0.0125,0,0.0,1,0.00625,0,0.0,0,0.0,0,0.0
W,2015-01-06,Stockton,CA,0,STOCKTON POLICE DEPARTMENT,1,800,1100,0,1,1,0,0,0,409,252,0.6161369193154034,12,0.029339853300733496,110,0.26894865525672373,1,0.0024449877750611247,32,0.07823960880195599,0,0.0,2,0.004889975550122249,0,0.0
B,2015-01-07,Freeport,TX,0,FREEPORT POLICE DEPARTMENT,1,630,430,0,1,1,1,0,0,35,18,0.5142857142857142,3,0.08571428571428572,12,0.34285714285714286,0,0.0,0,0.0,1,0.02857142857142857,1,0.02857142857142857,0,0.0
B,2015-01-07,Columbus,OH,0,COLUMBUS POLICE DEPARTMENT,1,1120,600,0,1,1,1,0,1,1802,1566,0.8690344062153164,187,0.10377358490566038,19,0.010543840177580466,3,0.001664816870144284,20,0.011098779134295227,7,0.00388457269700333,0,0.0,0,0.0
W,2015-01-07,Des Moines,IA,0,DES MOINES POLICE DEPARTMENT,1,900,320,0,0,1,0,0,0,348,312,0.896551724137931,12,0.034482758620689655,11,0.031609195402298854,1,0.0028735632183908046,12,0.034482758620689655,0,0.0,0,0.0,0,0.0
B,2015-01-07,New Orleans,LA,1,GRETNA POLICE DEPARTMENT,0,620,640,0,1,1,1,0,0,295,244,0.8271186440677966,42,0.1423728813559322,5,0.01694915254237288,0,0.0,4,0.013559322033898305,0,0.0,0,0.0,0,0.0
W,2015-01-08,Huntley,MT,0,YELLOWSTONE COUNTY SHERIFF'S OFFICE,0,480,520,0,0,0,0,0,0,52,50,0.9615384615384616,0,0.0,2,0.038461538461538464,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
W,2015-01-08,Salt Lake City,UT,1,SALT LAKE CITY POLICE DEPARTMENT,1,1040,560,0,1,1,1,0,0,452,392,0.8672566371681416,5,0.011061946902654867,33,0.07300884955752213,2,0.004424778761061947,5,0.011061946902654867,15,0.033185840707964605,0,0.0,0,0.0
B,2015-01-08,Strong,AR,0,OUACHITA COUNTY SHERIFFS OFFICE,1,520,100,0,1,1,1,0,0,16,14,0.875,2,0.125,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
W,2015-01-08,Syracuse,UT,1,DAVIS COUNTY SHERIFF'S OFFICE,1,560,480,1,1,1,1,0,0,202,186,0.9207920792079208,1,0.0049504950495049506,11,0.054455445544554455,1,0.0049504950495049506,3,0.01485148514851485,0,0.0,0,0.0,0,0.0
W,2015-01-09,England,AR,0,WHITE HALL POLICE DEPARTMENT,1,520,0,0,0,1,0,0,0,15,14,0.9333333333333333,1,0.06666666666666667,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
H,2015-01-09,El Paso,TX,0,EL PASO POLICE DEPARTMENT,0,900,2080,0,0,1,0,0,0,1026,169,0.16471734892787523,25,0.024366471734892786,815,0.7943469785575049,4,0.003898635477582846,0,0.0,11,0.010721247563352826,0,0.0,2,0.001949317738791423
W,2015-01-11,Arcola,IL,0,ATWOOD POLICE DEPARTMENT,1,480,200,0,0,1,1,0,0,2,1,0.5,0,0.0,1,0.5,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
H,2015-01-11,South Gate,CA,0,LOS ANGELES COUNTY SHERIFF'S DEPARTMENT,0,880,1040,1,0,0,0,1,1,9351,3659,0.39129504865789755,841,0.08993690514383489,4171,0.4460485509571169,24,0.0025665704202759063,656,0.07015292482087478,0,0.0,0,0.0,0,0.0
H,2015-01-11,North Las Vegas,NV,0,NORTH LAS VEGAS POLICE DEPARTMENT,0,1000,800,0,0,0,0,0,0,285,199,0.6982456140350877,39,0.1368421052631579,34,0.11929824561403508,0,0.0,13,0.0456140350877193,0,0.0,0,0.0,0,0.0
